,ChannelID,subs,nvideos,views,Category,Language,Type
Y0066,Y0066,181821,87,140503,food,Russia,Corperate
Y0067,Y0067,152838,59,163818,gaming,Franch,Goverment
Y0068,Y0068,49757,24,47749,music,English,Goverment
Y0069,Y0069,61035,14,58651,travel,English,NGO
Y0070,Y0070,70693,6,35245,food,Chinese,Individual
Y0071,Y0071,100384,80,84237,travel,Chinese,Individual
Y0072,Y0072,141788,75,49249,gaming,Spanish,NGO
Y0073,Y0073,1,31,556,news,English,NGO
Y0074,Y0074,133291,6,39396,music,Russia,Goverment
Y0075,Y0075,26513,21,39891,news,English,Individual
Y0076,Y0076,101007,49,79185,music,English,NGO
Y0077,Y0077,36006,4,33925,news,Russia,Individual
Y0078,Y0078,147832,11,154884,music,Spanish,Individual
Y0079,Y0079,8751,88,6901,food,Spanish,Goverment
Y0080,Y0080,68534,18,8647,gaming,English,Corperate
Y0081,Y0081,45571,22,9589,travel,English,Individual
Y0082,Y0082,179890,42,173639,food,English,Goverment
Y0083,Y0083,28474,85,31674,food,English,Corperate
Y0084,Y0084,117635,38,62147,travel,Japanese,Individual
Y0085,Y0085,73138,98,82198,food,Franch,NGO
Y0086,Y0086,121501,4,106029,gaming,Franch,Goverment
Y0087,Y0087,156326,17,132530,travel,Russia,NGO
Y0088,Y0088,86274,54,5625,music,English,NGO
Y0089,Y0089,79224,57,20740,news,Franch,Individual
Y0090,Y0090,143974,97,2398,travel,English,Corperate
Y0091,Y0091,97589,65,122231,food,English,Individual
Y0092,Y0092,137375,12,149166,music,Spanish,Individual
Y0093,Y0093,1,90,0,food,Spanish,Individual
Y0094,Y0094,84840,42,72103,travel,Chinese,NGO
Y0095,Y0095,1,74,0,gaming,English,Corperate
Y0096,Y0096,104073,66,27652,music,Chinese,Goverment
Y0097,Y0097,122587,77,21913,travel,English,Individual
Y0098,Y0098,77223,54,62718,travel,English,Corperate
Y0099,Y0099,149786,54,222201,gaming,English,Goverment
Y0100,Y0100,35338,58,14990,travel,Spanish,Individual
Y0101,Y0101,41050,93,46602,news,English,Individual
Y0102,Y0102,136406,16,31630,news,Russia,Individual
Y0103,Y0103,95784,62,79640,travel,English,Individual
Y0104,Y0104,82097,88,21621,food,Japanese,Individual
Y0105,Y0105,113242,94,72352,music,English,Corperate
Y0106,Y0106,27665,59,30009,music,English,Individual
Y0107,Y0107,80126,80,94532,news,English,Individual
Y0108,Y0108,167334,65,139321,travel,Franch,NGO
Y0109,Y0109,60427,14,85768,gaming,Japanese,Individual
Y0110,Y0110,88286,80,65656,music,Spanish,Corperate
Y0111,Y0111,119733,42,17712,travel,Spanish,Goverment
Y0112,Y0112,220413,6,176263,news,Russia,Corperate
Y0113,Y0113,84180,90,108908,travel,Russia,Individual
Y0114,Y0114,83838,12,116855,food,Japanese,NGO
Y0115,Y0115,55605,86,62713,gaming,Chinese,Goverment
Y0116,Y0116,110903,87,98875,news,Chinese,NGO
Y0117,Y0117,152092,69,3735,music,English,NGO
Y0118,Y0118,112673,74,5813,news,Spanish,Individual
Y0119,Y0119,123904,30,162880,gaming,English,NGO
Y0120,Y0120,146298,70,1163,gaming,Spanish,Individual
Y0121,Y0121,130696,45,55668,travel,Franch,Goverment
Y0122,Y0122,159128,17,190414,music,Russia,Corperate
Y0123,Y0123,114205,77,160336,music,English,Corperate
Y0124,Y0124,83783,78,51233,music,English,NGO
Y0125,Y0125,163048,38,221971,food,English,NGO
Y0126,Y0126,54039,44,41333,food,English,Individual
Y0127,Y0127,127724,83,131892,music,Spanish,Corperate
Y0128,Y0128,96868,38,77150,food,Spanish,Goverment
Y0129,Y0129,172500,71,170788,news,English,Individual
Y0130,Y0130,91105,16,81655,music,Franch,Individual
Y0131,Y0131,56054,19,26891,news,English,Individual
Y0132,Y0132,82259,46,87862,gaming,English,Goverment
Y0133,Y0133,174260,91,87140,travel,Franch,NGO
Y0134,Y0134,112645,86,158395,news,English,Individual
Y0135,Y0135,1,8,281,travel,Franch,NGO
Y0136,Y0136,122993,77,162176,travel,English,Individual
Y0137,Y0137,149104,63,127103,food,Chinese,Individual
Y0138,Y0138,132274,99,197423,food,Chinese,Individual
Y0139,Y0139,51686,3,48151,gaming,English,NGO
Y0140,Y0140,147518,91,83902,music,English,Individual
Y0141,Y0141,106824,48,130862,travel,English,NGO
Y0142,Y0142,104681,72,102044,gaming,English,NGO
Y0143,Y0143,78071,30,25479,news,English,NGO
Y0144,Y0144,98705,10,58802,news,English,Goverment
Y0145,Y0145,126683,33,85607,news,Russia,NGO
Y0146,Y0146,80010,48,52567,travel,English,Goverment
Y0147,Y0147,82271,26,29084,travel,Spanish,Individual
Y0148,Y0148,81651,20,105373,gaming,Spanish,Goverment
Y0149,Y0149,156482,47,125109,travel,Franch,NGO
Y0150,Y0150,33839,55,11808,food,English,Individual
Y0151,Y0151,153245,12,19202,news,Japanese,NGO
Y0152,Y0152,48906,94,66054,travel,Russia,Goverment
Y0153,Y0153,133639,94,6825,music,Japanese,NGO
Y0154,Y0154,58241,20,39614,food,Franch,Corperate
Y0155,Y0155,134720,28,2261,food,Chinese,Individual
Y0156,Y0156,82962,13,70574,gaming,Spanish,Goverment
Y0157,Y0157,155860,1,66244,food,English,Goverment
Y0158,Y0158,82293,13,13242,music,Franch,NGO
Y0159,Y0159,126129,25,17531,music,English,NGO
Y0160,Y0160,87254,81,121322,music,Japanese,Individual
Y0161,Y0161,111463,59,165083,travel,Russia,NGO
Y0162,Y0162,54133,68,40016,travel,English,NGO
Y0163,Y0163,65733,14,38416,gaming,English,Individual
Y0164,Y0164,166508,78,98103,travel,English,NGO
Y0165,Y0165,186687,50,165639,gaming,Russia,NGO
Y0166,Y0166,11696,66,15030,gaming,English,Individual
Y0167,Y0167,203138,34,78994,music,Franch,Individual
Y0168,Y0168,102543,26,36249,travel,Japanese,Goverment
Y0169,Y0169,49232,61,65809,gaming,Spanish,Corperate
Y0170,Y0170,143157,77,154167,music,English,NGO
Y0171,Y0171,95567,92,132545,food,Russia,Individual
Y0172,Y0172,137314,72,100701,gaming,Spanish,NGO
Y0173,Y0173,117626,60,117298,food,Spanish,Individual
Y0174,Y0174,199326,59,40053,travel,Russia,NGO
Y0175,Y0175,98385,64,60052,news,English,Goverment
Y0176,Y0176,137239,46,10914,music,Franch,Corperate
Y0177,Y0177,179009,96,120263,food,Spanish,Individual
Y0178,Y0178,56023,87,10395,news,Franch,Individual
Y0179,Y0179,162111,62,74692,music,Chinese,NGO
Y0180,Y0180,112376,60,37948,music,Chinese,Corperate
Y0181,Y0181,71094,97,30637,news,English,Goverment
Y0182,Y0182,150695,6,212189,food,English,NGO
Y0183,Y0183,89575,26,113302,gaming,Franch,NGO
Y0184,Y0184,103647,8,100524,music,English,NGO
Y0185,Y0185,180018,41,216818,travel,Japanese,NGO
Y0186,Y0186,150763,51,201489,travel,English,Corperate
Y0187,Y0187,130078,30,184266,news,Spanish,Individual
Y0188,Y0188,138671,24,121788,food,Japanese,NGO
Y0189,Y0189,11881,22,320,travel,English,Individual
Y0190,Y0190,126059,38,157336,news,Franch,NGO
Y0191,Y0191,16206,15,14942,music,Russia,Corperate
Y0192,Y0192,177093,18,217950,food,Russia,Individual
Y0193,Y0193,113082,75,5789,gaming,English,NGO
Y0194,Y0194,80796,56,65139,news,English,NGO
Y0195,Y0195,70727,30,94497,travel,Franch,Corperate
Y0196,Y0196,95085,69,15139,music,Spanish,Individual
Y0197,Y0197,41959,34,36896,gaming,English,Goverment
Y0198,Y0198,29840,73,17462,travel,English,NGO
Y0199,Y0199,89470,20,119882,gaming,English,Individual
Y0200,Y0200,120601,72,29466,travel,English,Goverment
Y0201,Y0201,121324,51,63322,gaming,Franch,Corperate
Y0202,Y0202,131601,41,92222,travel,Franch,Individual
Y0203,Y0203,173939,26,150735,news,Russia,NGO
Y0204,Y0204,129601,99,3715,music,Franch,NGO
Y0205,Y0205,46012,31,7112,food,Franch,NGO
Y0206,Y0206,92249,43,116857,news,Chinese,Goverment
Y0207,Y0207,99694,80,25023,food,English,Individual
Y0208,Y0208,132955,19,56310,food,English,Goverment
Y0209,Y0209,75727,10,108648,food,English,NGO
Y0210,Y0210,136749,3,30336,travel,English,Individual
Y0211,Y0211,117902,42,76210,food,English,NGO
Y0212,Y0212,146258,76,43197,travel,English,Individual
Y0213,Y0213,115341,97,171055,gaming,English,Individual
Y0214,Y0214,216331,24,206827,food,Franch,Individual
Y0215,Y0215,90428,75,5759,food,English,NGO
Y0216,Y0216,65619,41,21872,travel,English,NGO
Y0217,Y0217,122975,82,172275,news,Japanese,Individual
Y0218,Y0218,186644,79,103840,food,Spanish,Individual
Y0219,Y0219,28625,32,26059,news,English,Individual
Y0220,Y0220,48793,67,13745,music,English,Individual
Y0221,Y0221,28031,23,3310,news,English,Individual
Y0222,Y0222,135391,34,75929,music,Russia,Individual
Y0223,Y0223,155706,88,232838,travel,Russia,Individual
Y0224,Y0224,70019,22,3905,travel,Franch,Corperate
Y0225,Y0225,194585,58,283754,travel,Spanish,NGO
Y0226,Y0226,63141,58,13430,news,Japanese,NGO
Y0227,Y0227,64361,53,92172,news,English,Individual
Y0228,Y0228,99514,69,62148,food,English,Individual
Y0229,Y0229,65188,59,65740,food,Chinese,Goverment
Y0230,Y0230,108560,24,106190,food,Franch,Individual
Y0231,Y0231,120404,92,179191,news,English,Corperate
Y0232,Y0232,94202,61,94947,travel,Chinese,Goverment
Y0233,Y0233,112807,58,12467,travel,Japanese,Corperate
Y0234,Y0234,100652,4,130883,travel,English,Individual
Y0235,Y0235,133165,52,168533,food,Japanese,NGO
Y0236,Y0236,126953,14,113756,food,Spanish,NGO
Y0237,Y0237,146351,84,31677,music,English,NGO
Y0238,Y0238,107469,4,64062,music,English,Individual
Y0239,Y0239,42447,41,23411,food,English,Goverment
Y0240,Y0240,108339,83,15664,food,Japanese,Corperate
Y0241,Y0241,3492,41,4641,gaming,English,NGO
Y0242,Y0242,152170,45,105241,travel,English,Individual
Y0243,Y0243,153583,95,218131,gaming,English,NGO
Y0244,Y0244,98704,69,115295,gaming,English,Individual
Y0245,Y0245,35011,10,23692,music,Russia,Individual
Y0246,Y0246,158069,7,105560,gaming,English,Goverment
Y0247,Y0247,28726,1,12438,travel,Japanese,Individual
Y0248,Y0248,75544,77,35222,gaming,Japanese,Corperate
Y0249,Y0249,49012,11,27348,news,Japanese,Goverment
Y0250,Y0250,136881,72,9294,gaming,English,NGO
Y0251,Y0251,100727,95,143097,music,Japanese,Individual
Y0252,Y0252,92619,88,105009,gaming,English,Individual
Y0253,Y0253,7817,32,4991,travel,English,Goverment
Y0254,Y0254,77295,56,103784,food,English,Individual
Y0255,Y0255,144339,20,176821,travel,English,NGO
Y0256,Y0256,115526,67,127156,gaming,English,Goverment
Y0257,Y0257,107762,55,120240,food,Russia,Individual
Y0258,Y0258,91541,7,87430,news,Chinese,Corperate
Y0259,Y0259,68115,58,58742,food,English,Goverment
Y0260,Y0260,57082,34,84657,travel,Chinese,Goverment
Y0261,Y0261,78811,10,28174,food,English,Goverment
Y0262,Y0262,20901,21,13050,news,English,Goverment
Y0263,Y0263,77091,46,33289,travel,Russia,NGO
Y0264,Y0264,78056,48,48491,travel,Chinese,Goverment
Y0265,Y0265,86353,42,108017,music,Franch,Individual
Y0266,Y0266,84832,26,26487,news,Franch,Goverment
Y0267,Y0267,60809,43,15043,gaming,Russia,Individual
Y0268,Y0268,112915,3,68739,news,Spanish,Individual
Y0269,Y0269,77557,74,80458,food,Spanish,NGO
Y0270,Y0270,81590,49,31057,travel,English,NGO
Y0271,Y0271,108674,40,50285,travel,Russia,Goverment
Y0272,Y0272,44339,19,20116,news,Franch,Corperate
Y0273,Y0273,194851,30,158430,news,English,NGO
Y0274,Y0274,86084,10,52693,food,Chinese,Goverment
Y0275,Y0275,155932,70,183539,food,English,Individual
Y0276,Y0276,122411,71,2988,food,English,Goverment
Y0277,Y0277,114732,28,60049,music,English,NGO
Y0278,Y0278,129998,64,76886,food,Chinese,Individual
Y0279,Y0279,94432,79,94932,music,Franch,Individual
Y0280,Y0280,2323,40,480,music,Franch,Individual
Y0281,Y0281,51183,55,46743,music,Japanese,NGO
Y0282,Y0282,98239,75,49629,gaming,English,Goverment
Y0283,Y0283,168123,71,233405,food,Japanese,Individual
Y0284,Y0284,52546,74,23625,food,English,NGO
Y0285,Y0285,138793,13,84825,gaming,English,Individual
Y0286,Y0286,127113,22,7997,news,Spanish,NGO
Y0287,Y0287,65051,56,87451,food,English,Individual
Y0288,Y0288,110867,55,30183,food,Russia,NGO
Y0289,Y0289,1,47,0,food,English,NGO
Y0290,Y0290,43223,99,28521,news,English,Goverment
Y0291,Y0291,185585,19,184146,news,Russia,Individual
Y0292,Y0292,147948,69,164922,news,English,NGO
Y0293,Y0293,112803,8,48109,gaming,Russia,Corperate
Y0294,Y0294,152757,29,44682,travel,English,Corperate
Y0295,Y0295,115830,42,133808,music,Russia,NGO
Y0296,Y0296,32336,33,37466,music,Japanese,Individual
Y0297,Y0297,84700,73,33289,food,Franch,Individual
Y0298,Y0298,35741,33,17962,travel,English,NGO
Y0299,Y0299,112158,81,143470,gaming,English,NGO
Y0300,Y0300,114998,81,135949,news,English,Individual
Y0301,Y0301,109208,3,121362,music,English,Individual
Y0302,Y0302,131535,9,115081,travel,Chinese,NGO
Y0303,Y0303,132948,98,111653,food,English,Goverment
Y0304,Y0304,166177,54,131156,music,Spanish,Individual
Y0305,Y0305,73018,15,63883,news,Japanese,Goverment
Y0306,Y0306,34219,85,32362,gaming,Russia,NGO
Y0307,Y0307,112315,15,125840,news,Franch,Corperate
Y0308,Y0308,1,56,264,gaming,English,NGO
Y0309,Y0309,143847,85,150058,travel,English,Corperate
Y0310,Y0310,1,72,800,gaming,English,Individual
Y0311,Y0311,48245,21,30933,music,Russia,Goverment
Y0312,Y0312,96832,72,77663,food,English,Individual
Y0313,Y0313,18831,43,25573,news,Chinese,Individual
Y0314,Y0314,93038,99,34482,music,English,Goverment
Y0315,Y0315,183513,38,181216,gaming,Franch,Goverment
Y0316,Y0316,51505,98,38146,food,Spanish,Goverment
Y0317,Y0317,113007,31,19171,travel,Franch,Individual
Y0318,Y0318,126796,22,65277,travel,Japanese,Goverment
Y0319,Y0319,178511,2,67868,travel,English,Individual
Y0320,Y0320,130897,59,42106,gaming,Chinese,NGO
Y0321,Y0321,154574,30,9993,news,Japanese,Individual
Y0322,Y0322,105421,15,74984,gaming,Franch,Goverment
Y0323,Y0323,18316,4,13866,music,English,Individual
Y0324,Y0324,73858,57,84585,travel,Russia,Goverment
Y0325,Y0325,28091,65,8762,music,English,Goverment
Y0326,Y0326,75802,29,98224,music,English,Individual
Y0327,Y0327,74611,21,104144,music,Chinese,Goverment
Y0328,Y0328,72402,1,62991,food,English,NGO
Y0329,Y0329,223421,30,162868,music,English,Goverment
Y0330,Y0330,168211,70,8207,travel,Japanese,Individual
Y0331,Y0331,106600,96,144132,gaming,English,NGO
Y0332,Y0332,129507,10,149087,travel,English,Individual
Y0333,Y0333,115618,62,106269,gaming,English,Goverment
Y0334,Y0334,72532,97,107937,news,Japanese,Corperate
Y0335,Y0335,20516,8,29027,news,English,NGO
Y0336,Y0336,120688,60,100755,gaming,Russia,NGO
Y0337,Y0337,112383,40,13977,travel,English,Goverment
Y0338,Y0338,135523,77,6720,news,Chinese,NGO
Y0339,Y0339,134424,18,180786,gaming,Spanish,Goverment
Y0340,Y0340,64463,62,45673,travel,Japanese,Individual
Y0341,Y0341,88978,79,59092,music,English,Corperate
Y0342,Y0342,169703,31,120012,music,English,Individual
Y0343,Y0343,63919,54,32907,music,Japanese,NGO
Y0344,Y0344,105047,46,106397,gaming,Franch,NGO
Y0345,Y0345,34152,22,38975,news,Japanese,NGO
Y0346,Y0346,104284,78,105398,gaming,English,Corperate
Y0347,Y0347,131664,95,9633,travel,English,Individual
Y0348,Y0348,36891,28,52927,travel,Chinese,NGO
Y0349,Y0349,80628,9,55968,music,English,Goverment
Y0350,Y0350,46166,68,9916,food,English,Individual
Y0351,Y0351,58100,67,84453,music,Russia,NGO
Y0352,Y0352,27699,28,14386,news,English,Goverment
Y0353,Y0353,13782,96,14797,news,Franch,Goverment
Y0354,Y0354,8459,52,356,food,Japanese,Individual
Y0355,Y0355,124746,98,29888,food,Chinese,Goverment
Y0356,Y0356,197739,69,127683,gaming,English,Goverment
Y0357,Y0357,65822,62,18780,food,Franch,Goverment
Y0358,Y0358,140797,85,49056,food,English,Goverment
Y0359,Y0359,59664,60,30421,gaming,Franch,Individual
Y0360,Y0360,135883,40,98715,travel,English,Goverment
Y0361,Y0361,28312,90,8904,music,English,Individual
Y0362,Y0362,169885,74,239202,travel,Chinese,Individual
Y0363,Y0363,121596,60,89038,travel,English,Goverment
Y0364,Y0364,187621,18,54738,music,Franch,Individual
Y0365,Y0365,132667,2,130461,music,Chinese,Individual
Y0366,Y0366,57928,24,65293,gaming,English,Individual
Y0367,Y0367,103848,12,22815,music,English,Goverment
Y0368,Y0368,8353,90,6382,music,English,Corperate
Y0369,Y0369,50213,91,61058,gaming,Chinese,Goverment
Y0370,Y0370,59802,77,53447,news,Spanish,Goverment
Y0371,Y0371,131928,85,97902,food,Japanese,NGO
Y0372,Y0372,148708,36,33241,music,Russia,Goverment
Y0373,Y0373,92565,32,129277,gaming,English,Corperate
Y0374,Y0374,64648,79,57644,gaming,English,NGO
Y0375,Y0375,145962,45,50200,music,Spanish,Corperate
Y0376,Y0376,84391,84,69693,travel,Russia,Goverment
Y0377,Y0377,117549,8,116817,food,English,Goverment
Y0378,Y0378,130582,70,19535,travel,Chinese,Individual
Y0379,Y0379,190113,13,112238,music,Franch,Goverment
Y0380,Y0380,67549,49,23155,travel,English,Individual
Y0381,Y0381,43907,55,21456,news,English,Individual
Y0382,Y0382,39910,34,17338,food,English,NGO
Y0383,Y0383,70586,48,40171,news,Chinese,Individual
Y0384,Y0384,58158,7,71990,food,Chinese,Individual
Y0385,Y0385,189896,17,265924,travel,English,Individual
Y0386,Y0386,135835,36,21233,gaming,English,Individual
Y0387,Y0387,128760,33,163114,travel,Chinese,NGO
Y0388,Y0388,103384,60,142128,food,English,Goverment
Y0389,Y0389,14011,56,12953,gaming,English,Goverment
Y0390,Y0390,77976,14,11847,travel,Chinese,NGO
Y0391,Y0391,121025,75,155404,food,Chinese,Individual
Y0392,Y0392,115668,87,19347,food,English,Individual
Y0393,Y0393,121074,39,114131,news,Chinese,NGO
Y0394,Y0394,108930,16,68662,news,Chinese,NGO
Y0395,Y0395,148190,82,154085,news,Franch,NGO
Y0396,Y0396,152713,48,32773,gaming,Franch,Individual
Y0397,Y0397,96146,62,143246,music,English,NGO
Y0398,Y0398,103113,74,112152,food,Chinese,Individual
Y0399,Y0399,126483,50,16501,news,Spanish,Corperate
Y0400,Y0400,111862,73,84174,gaming,Franch,Individual
Y0401,Y0401,104403,10,118846,gaming,English,NGO
Y0402,Y0402,75626,10,68941,music,Russia,NGO
Y0403,Y0403,28144,74,26305,music,English,NGO
Y0404,Y0404,127742,24,48057,music,Franch,Individual
Y0405,Y0405,81938,11,3957,gaming,English,Individual
Y0406,Y0406,85682,16,13639,news,Russia,Individual
Y0407,Y0407,66177,50,4383,food,English,Corperate
Y0408,Y0408,74058,52,81770,gaming,English,Individual
Y0409,Y0409,105795,32,53873,gaming,English,Individual
Y0410,Y0410,168470,97,202295,food,English,Goverment
Y0411,Y0411,115126,74,30830,music,Chinese,NGO
Y0412,Y0412,111182,21,137638,food,English,Individual
Y0413,Y0413,67723,28,83888,news,Spanish,NGO
Y0414,Y0414,119593,6,87512,news,Japanese,NGO
Y0415,Y0415,63027,62,24783,music,Russia,Goverment
Y0416,Y0416,68201,18,41355,news,Japanese,Individual
Y0417,Y0417,126756,50,75284,music,English,Goverment
Y0418,Y0418,85766,1,55329,gaming,English,Individual
Y0419,Y0419,94365,15,139844,food,English,Goverment
Y0420,Y0420,33673,25,2455,news,Chinese,Individual
Y0421,Y0421,88805,31,119469,news,Russia,NGO
Y0422,Y0422,66093,16,99104,music,Franch,NGO
Y0423,Y0423,124410,63,155393,music,Japanese,Goverment
Y0424,Y0424,1,40,0,gaming,Russia,NGO
Y0425,Y0425,131659,13,4669,music,Russia,Individual
Y0426,Y0426,109936,4,39345,travel,English,Individual
Y0427,Y0427,18254,94,27200,gaming,Chinese,NGO
Y0428,Y0428,104384,7,31184,news,Franch,NGO
Y0429,Y0429,86469,58,23476,news,Spanish,Corperate
Y0430,Y0430,25533,48,36663,news,Chinese,Corperate
Y0431,Y0431,89799,38,52968,music,Chinese,Goverment
Y0432,Y0432,158982,42,226213,music,English,NGO
Y0433,Y0433,103046,20,62269,food,English,Individual
Y0434,Y0434,24729,92,14977,music,Spanish,Goverment
Y0435,Y0435,66064,89,60253,food,Russia,Goverment
Y0436,Y0436,170668,27,109344,gaming,English,Individual
Y0437,Y0437,117860,4,55664,news,English,NGO
Y0438,Y0438,185711,69,254440,travel,English,NGO
Y0439,Y0439,47909,20,48226,news,English,Goverment
Y0440,Y0440,91011,56,30253,music,Japanese,Individual
Y0441,Y0441,85256,24,51047,food,Franch,Individual
Y0442,Y0442,75486,93,39882,music,English,Corperate
Y0443,Y0443,76428,99,63115,gaming,English,Individual
Y0444,Y0444,117852,61,78595,gaming,Chinese,NGO
Y0445,Y0445,98271,92,46428,food,Franch,NGO
Y0446,Y0446,46801,56,28801,food,English,Individual
Y0447,Y0447,86314,21,91541,music,English,Individual
Y0448,Y0448,129582,4,31260,travel,English,Individual
Y0449,Y0449,60595,82,60585,travel,Chinese,Corperate
Y0450,Y0450,96299,30,130991,travel,Russia,Individual
Y0451,Y0451,110117,80,5857,travel,English,Individual
Y0452,Y0452,111525,67,71439,gaming,English,Individual
Y0453,Y0453,144874,21,155103,travel,English,NGO
Y0454,Y0454,109569,38,121642,news,Spanish,Goverment
Y0455,Y0455,169299,44,155647,food,Japanese,NGO
Y0456,Y0456,128701,99,56876,travel,Chinese,Individual
Y0457,Y0457,103805,70,50931,music,Russia,Individual
Y0458,Y0458,172221,36,66092,food,Franch,Goverment
Y0459,Y0459,109031,31,119485,food,English,Corperate
Y0460,Y0460,45922,75,4866,gaming,English,Individual
Y0461,Y0461,111760,67,163525,music,Spanish,Individual
Y0462,Y0462,141919,20,104671,music,Spanish,NGO
Y0463,Y0463,181137,53,146941,music,English,NGO
Y0464,Y0464,158357,43,43374,food,Spanish,Goverment
Y0465,Y0465,65832,10,8281,travel,Spanish,NGO
Y0466,Y0466,170820,65,53324,travel,English,Individual
Y0467,Y0467,175948,88,137543,music,English,Goverment
Y0468,Y0468,108240,35,64763,food,English,Goverment
Y0469,Y0469,113161,49,142173,travel,Chinese,Individual
Y0470,Y0470,71415,33,6981,news,English,Goverment
Y0471,Y0471,40772,97,29047,gaming,English,Corperate
Y0472,Y0472,90284,22,15765,music,Spanish,Individual
Y0473,Y0473,67857,6,27594,music,Spanish,Corperate
Y0474,Y0474,148725,78,879,news,English,Individual
Y0475,Y0475,62508,3,64668,food,English,Individual
Y0476,Y0476,116847,29,69221,gaming,English,Goverment
Y0477,Y0477,43297,46,6055,news,English,Goverment
Y0478,Y0478,56129,24,42358,news,Chinese,Goverment
Y0479,Y0479,26973,66,27815,music,English,Corperate
Y0480,Y0480,103998,80,87144,music,Russia,Individual
Y0481,Y0481,105250,5,81728,gaming,Chinese,NGO
Y0482,Y0482,56669,12,54604,travel,English,Individual
Y0483,Y0483,76079,45,29485,music,Spanish,NGO
Y0484,Y0484,39514,32,49804,news,Franch,Corperate
Y0485,Y0485,1,43,593,music,English,Corperate
Y0486,Y0486,66603,71,45610,travel,Russia,Individual
Y0487,Y0487,126584,13,178026,music,Russia,Individual
Y0488,Y0488,102656,5,65842,gaming,English,NGO
Y0489,Y0489,102184,73,42259,travel,English,Corperate
Y0490,Y0490,10020,97,2322,news,English,NGO
Y0491,Y0491,158762,89,111220,travel,English,Individual
Y0492,Y0492,69842,58,103225,gaming,Spanish,Goverment
Y0493,Y0493,219736,40,202610,food,Russia,NGO
